Project,Symbol,Round,Total Raised,Pre-Valuation,Investors,Ecosystem,Categories,ROI,Date,Quarter Flag,source_url
AtlasOra,AORA,Public Sale,—,—,—,,Blockchain Service,—,"Mar 18, 2026",0,https://icodrops.com/idos/
WorldX,WLDX,IDO on Fjord Foundry,—,$25 M,—,,Exchange,—,"Mar 15, 2026",0,https://icodrops.com/worldx/
Katana,KAT,Binance Wallet Airdrop,—,$118.6 M,—,,Blockchain,—,"Mar 3, 2026",0,https://icodrops.com/katana/
Unitas,UP,Binance Wallet Sale,$13.33 M,$5 M,3,,Stablecoin Issuer,35.78x,"Mar 13, 2026",0,https://icodrops.com/unitas/
Midnight,NIGHT,Binance HODLer Airdrops,—,—,—,,Blockchain,—,"Mar 11, 2026",0,https://icodrops.com/midnight-2/
Nebula3GameFi,SN3,Binance Alpha Airdrop,$5 M,—,,,GameFi,—,"Mar 11, 2026",0,https://icodrops.com/nebula3gamefi/
Opinion Labs,OPN,Binance Alpha Airdrop,$25 M,$191 M,6,,Predictions,—,"Mar 5, 2026",0,https://icodrops.com/opinion-labs/
Block Street,BSB,Binance Alpha Airdrop,$11.5 M,$198.8 M,2,,DeFi,—,"Mar 4, 2025",0,https://icodrops.com/block-street/
x,IDOS,Public Sale,$4.5 M,$13.45 M,5,,Blockchain Service,—,"Feb 25, 2026",0,https://icodrops.com/idos/
Bitway,BTW,Binance Wallet Booster Program,$5.44 M,$288.6 M,,,DeFi,—,"Jan 13, 2026",0,https://icodrops.com/bitway/
Euphoria,,Incentivized Activities,$7.5 M,—,8,,DeFi,—,"Feb 16, 2026",0,https://icodrops.com/euphoria/
Fabric Protocol,ROBO,Binance Alpha Airdrop,—,—,—,,Blockchain Infrastr…,—,"Feb 27, 2026",0,https://icodrops.com/fabric-protocol/
USD.AI,CHIP,Public Sale on CoinList,$17.4 M,$300 M,6,,DeFi,—,"Feb 22, 2026",0,https://icodrops.com/usd-ai/
Flying Tulip,FT,Public Sale,$431.5 M,$966.4 M,13,,DEX,0.98x,"Feb 16, 2026",0,https://icodrops.com/flying-tulip/
Turbo Battle Arena,TBA,IDO on Spores,—,$7.5 M,—,,GameFi,—,"Feb 20, 2026",0,https://icodrops.com/turbo-battle-arena/
Zama,ZAMA,GemPool on Kucoin,$229 M,$262.57 M,6,,Privacy Coin,0.48x,"Feb 2, 2026",0,https://icodrops.com/zama/
CAP,,ICO on Uniswap,$9.9 M,—,36,,DeFi,—,"Feb 9, 2026",0,https://icodrops.com/cap-3/
PENXCHAIN,PENX,IDO on Spores,—,$3 M,—,,Blockchain Service,—,"Feb 12, 2026",0,https://icodrops.com/penxchain/
Warp Chain,WRP,IDO on Eesee,—,$37.5 M,—,,Blockchain,—,"Feb 10, 2026",0,https://icodrops.com/warp-chain/
Huddle01,HUDL,Public Sale,$4.5 M,—,8,,Social,—,"Feb 6, 2026",0,https://icodrops.com/huddle01/
ChimpX AI,CHIMP,IDO on Poolz,—,$30 M,—,,DeFi,—,"Feb 9, 2026",0,https://icodrops.com/chimpx-ai/
Magicblock,BLOCK,Presale,$10.5 M,—,11,,Infrastructure,—,"Feb 5, 2026",0,https://icodrops.com/magicblock/
Chatllat,CLAT,IDO on Spores,—,$6 M,—,,Blockchain Service,—,"Feb 4, 2026",0,https://icodrops.com/chatllat/
Rainbow,RNBW,Binance Alpha Airdrop,$19.5 M,$16.61 M,3,,Blockchain Service,0.17x,"Feb 5, 2026",0,https://icodrops.com/rainbow/
Warden Protocol,WARD,Binance Alpha Airdrop,$4 M,$4.86 M,—,,Protocol,0.02x,"Feb 4, 2026",0,https://icodrops.com/warden-protocol/
Tria,TRIA,Binance Alpha Airdrop,$12 M,$292.6 M,1,,Neobank,1.84x,"Feb 3, 2026",0,https://icodrops.com/tria/
EarnPark,PARK,Token Sale Tier 4,$3.51 M,$18 M,—,,Finance,—,"Jan 8, 2026",0,https://icodrops.com/earnpark/
Infinex,INX,Binance Alpha Airdrop,$130.58 M,$116.7 M,39,,DEX,0.58x,"Jan 30, 2026",0,https://icodrops.com/infinex/
Kindred Labs,KIN,Binance Alpha Airdrop,—,—,—,,Artificial Intellig…,—,"Jan 30, 2026",0,https://icodrops.com/kindred-labs/
Immunefi,IMU,GemPool on Kucoin,$37 M,$27.35 M,10,,Artificial Intellig…,0.23x,"Jan 29, 2026",0,https://icodrops.com/immunefi/
HeyElsa,ELSA,Launchpool on Bybit,$3 M,$63.23 M,7,,AI Agents,0.22x,"Jan 20, 2026",0,https://icodrops.com/heyelsa/
Moonbirds,BIRB,Binance Alpha Airdrop,—,$131.2 M,,,NFT,—,"Jan 28, 2026",0,https://icodrops.com/moonbirds/
Fight.ID,FIGHT,Launchpool on Bybit,—,—,—,,Blockchain Service,—,"Jan 22, 2026",0,https://icodrops.com/fightid/
Somate,SOMT,IDO on Spores,—,$50 M,—,,Blockchain Service,—,"Jan 26, 2026",0,https://icodrops.com/somate/
Sanity United,SUT,IDO on Spores,—,$40 M,—,,Artificial Intellig…,—,"Jan 23, 2026",0,https://icodrops.com/sanity-united/
MetaMask,MASK,Point System Activity,—,—,—,,Wallet,—,"Oct 28, 2025",0,https://icodrops.com/metamask/
ETHGAS,GWEI,Binance Alpha Airdrop,$12 M,$407.2 M,6,,Infrastructure,1.49x,"Jan 21, 2026",0,https://icodrops.com/ethgas/
Acurast,ACU,Binance Alpha Airdrop,$20.4 M,$86.07 M,8,,DePIN,0.99x,"Jan 20, 2026",0,https://icodrops.com/acurast/
Sentient,SENT,Binance Wallet Sale,$92.6 M,$602.33 M,10,,Artificial Intellig…,1.59x,"Jan 19, 2026",0,https://icodrops.com/sentient/
RollX,ROLL,Binance Alpha Airdrop,—,$76.54 M,—,,Perpetual,0.79x,"Jan 16, 2026",0,https://icodrops.com/rollx/
Space,SPACE,Public Sale,$17.75 M,$69 M,1,,Prediction,—,"Jan 17, 2026",0,https://icodrops.com/space/
Sport.Fun,FUN,Binance Alpha Airdrop,$3.5 M,—,2,,GameFi,—,"Jan 15, 2026",0,https://icodrops.com/sportfun/
Owlto Finance,OWL,Binance Alpha Airdrop,$8 M,$9.72 M,12,,Cross-Сhain Communi…,0.08x,"Jan 15, 2026",0,https://icodrops.com/owlto-finance/
Brevis,BREV,Airdrop,$7.5 M,$116.1 M,3,,Zero Knowledge,1.71x,"Jan 15, 2026",0,https://icodrops.com/brevis/
Fogo,FOGO,Binance Wallet Sale,$20.5 M,$184.64 M,4,,Blockchain,0.53x,"Jan 13, 2026",0,https://icodrops.com/fogo/
TroveMarkets,TROVE,ICO,$11.45 M,$13.75 T,—,,DeFi,17601651.17x,"Jan 8, 2026",0,https://icodrops.com/trovemarkets/
Ranger,RNGR,ICM on MetaDAO,$1.9 M,$7.78 M,15,,DEX,0.5x,"Jan 6, 2026",0,https://icodrops.com/ranger/
DeepNode AI,DN,Binance Alpha Airdrop,$5 M,$10.45 M,3,,Artificial Intellig…,0.07x,"Jan 9, 2026",0,https://icodrops.com/deepnode-ai/
PlusMore,PLUS,IDO on Polkastarter,—,$10 M,—,,RWA (Real World Ass…,—,"Jan 8, 2026",0,https://icodrops.com/plusmore/
ZenChain,ZTC,Binance Wallet Sale,$10 M,$15.86 M,,,Blockchain,0.21x,"Jan 7, 2026",0,https://icodrops.com/zenchain/
Spur Protocol,SON,IDO on KingdomStarter,—,$30 M,—,,DeFi,—,"Jan 6, 2026",0,https://icodrops.com/spur-protocol/
Depinsim,,Binance Alpha Airdrop,$8 M,$5.52 M,4,,DePIN,0.05x,"Jan 5, 2026",0,https://icodrops.com/depinsim/
oooo,OOOO,Binance Alpha Airdrop,—,—,—,,Blockchain Service,—,"Dec 30, 2025",0,https://icodrops.com/oooo/
Alliance Games,COA,Incentivized Activities,$8 M,$123.04 K,5,,Gaming,0.01x,"Dec 31, 2025",0,https://icodrops.com/alliance-games/
Lighter,LIT,IEO on MEXC Launchpad,$68 M,$863.4 M,1,,Perpetual,0.43x,"Dec 24, 2025",0,https://icodrops.com/lighter/
Solstice,SLX,Public Sale,—,—,—,,DeFi,—,"Dec 22, 2025",0,https://icodrops.com/solstice/
Octra,OCT,ICM on Sonar,$8 M,$200 M,10,,Infrastructure,—,"Dec 18, 2025",0,https://icodrops.com/octra/
TradeTide AI,TTD,Binance Alpha Airdrop,—,$786.2 K,2,,Blockchain Service,0.03x,"Dec 20, 2025",0,https://icodrops.com/tradetide-ai/
Kodiak,KDK,IEO on Gate.io,$5.95 M,$22.85 M,27,,DEX,0.66x,"Dec 19, 2025",0,https://icodrops.com/kodiak-2/
Gensyn,AI,Public Sale,$66.74 M,$473 M,15,,Blockchain Service,—,"Dec 15, 2025",0,https://icodrops.com/gensyn/
RateX,RTX,Binance Alpha Airdrop,$7 M,$161 M,12,,DEX,—,"Dec 19, 2025",0,https://icodrops.com/ratex/
zkPass,,Binance Alpha Airdrop,$15 M,$70.41 M,12,,Blockchain Service,0.47x,"Dec 19, 2025",0,https://icodrops.com/zkpass/
AgentLISA,LISA,Binance Alpha Airdrop,$12 M,—,5,,Artificial Intellig…,—,"Dec 18, 2025",0,https://icodrops.com/agentlisa/
Vooi,VOOI,Binance Alpha Airdrop,$1.25 M,$7.51 M,,,DEX,0.05x,"Dec 18, 2025",0,https://icodrops.com/vooi/
LeverUp,LV,IDO on CAKE.PAD,—,$10 M,—,,DeFi,—,"Dec 17, 2025",0,https://icodrops.com/leverup/
Helios,HLS,IDO on Spores,$15 M,$100 M,,,Blockchain,—,"Dec 16, 2025",0,https://icodrops.com/helios/
Stable,,Launchpool on Bybit,$28 M,$2.59 B,15,,Blockchain,0.44x,"Dec 8, 2025",0,https://icodrops.com/stable-2/
GrantiX,GRANT,IDO on Huostarter,—,$88 M,—,,Charity,—,"Dec 15, 2025",0,https://icodrops.com/grantix/
Infrared,IR,Binance Wallet Sale,$16.65 M,$4.26 M,24,,DeFi,23.26x,"Dec 17, 2025",0,https://icodrops.com/infrared/
TheoriqAI (ChainML),THQ,Binance Alpha Airdrop,$10.2 M,$23.73 M,7,,Artificial Intellig…,0.32x,"Dec 16, 2025",0,https://icodrops.com/theoriqai/
Chainers,CHU,Community Sale,—,$19.98 M,—,,GameFi,—,"Dec 8, 2025",0,https://icodrops.com/chainers/
Superform,UP,ICM on Legion,$12.92 M,$58.12 M,17,5,Neobank,1.13x,"Dec 10, 2025",0,https://icodrops.com/superform/
BlaBla Protocol,BLA,IDO on Spores,—,$2 M,—,,Social,—,"Dec 8, 2025",0,https://icodrops.com/blabla-protocol/
HumidiFi,WET,Binance Alpha Airdrop,—,$101.3 M,—,,DEX,1.48x,"Dec 9, 2025",0,https://icodrops.com/humidifi/
Aztec,AZTEC,Public Sale,$178.23 M,$200.48 M,24,,Privacy Coin,0.43x,"Dec 2, 2025",0,https://icodrops.com/aztec/
Mattle.fun,MATTLE,Airdrop,—,—,—,,GameFi,—,"Dec 5, 2025",0,https://icodrops.com/mattlefun/
SecantX AI,SECA,IDO on Spores,$300 K,$70 M,—,,Analytics,—,"Dec 3, 2025",0,https://icodrops.com/secantx-ai/
Talisman,SEEK,IDO on ChainGPT,$2.35 M,$30 M,5,,DeFi,—,"Dec 1, 2025",0,https://icodrops.com/talisman/
Harmonix,HAR,ICM on Sonar,$2.1 M,$25 M,6,,Yield Aggregator,0.2x,"Dec 1, 2025",0,https://icodrops.com/harmonix/
Reya (former Voltz),REYA,Community Sale on CoinList,$16 M,$150 M,12,,DeFi,—,"Nov 25, 2025",0,https://icodrops.com/reya/
Makina,MAK,ICM on Legion,$4.5 M,—,16,,DeFi,—,"Nov 25, 2025",0,https://icodrops.com/makina/
Rayls,RLS,Binance Alpha Airdrop,—,$34.03 M,—,,Blockchain,—,"Dec 1, 2025",0,https://icodrops.com/rayls/
GaiAI,GAIX,Binance Alpha Airdrop,—,—,—,,Artificial Intellig…,—,"Nov 29, 2025",0,https://icodrops.com/gaiai/
Tea-REX,TReX,IDO on Red Kite,—,$2 M,—,,Trading,—,"Nov 26, 2025",0,https://icodrops.com/tea-rex/
APRO,AT,Binance HODLer Airdrops,$3 M,$142 M,9,,Blockchain Service,0.27x,"Nov 27, 2025",0,https://icodrops.com/apro/
Superfortune,GUA,Binance Alpha Airdrop,—,—,—,,Blockchain Service,—,"Nov 27, 2025",0,https://icodrops.com/superfortune/
Bitdealer,BIT,IDO on ChainGPT,$500 K,$513.3 K,—,,Launchpad,0.02x,"Nov 19, 2025",0,https://icodrops.com/bitdealer/
Irys,IRYS,Binance Alpha Airdrop,$18.9 M,$196.7 M,19,,Infrastructure,0.93x,"Nov 25, 2025",0,https://icodrops.com/irys/
Sparkle,SSS,Binance Alpha Airdrop,—,$4.27 K,—,,Social,—,"Nov 24, 2025",0,https://icodrops.com/sparkle/
MiRA,CAML,IDO on Fount,—,$250 M,—,,Blockchain Service,—,"Nov 22, 2025",0,https://icodrops.com/mira-2/
Orochi Network,ON,Launchpool on Gate.io,$20 M,$87.29 M,14,,Infrastructure,0.41x,"Nov 21, 2025",0,https://icodrops.com/orochi-network/
Kyuzo's Friends,,Binance Alpha Airdrop,$11 M,$16.95 M,3,,Gaming,0.83x,"Nov 23, 2025",0,https://icodrops.com/kyuzos-friends/
DIGI_MineD,DIGI,Binance Alpha Airdrop,—,—,,,Gaming,—,"Nov 22, 2025",0,https://icodrops.com/digi-mined/
Monad,,ICO,$431.5 M,$2.29 B,9,,Blockchain,0.95x,"Nov 17, 2025",0,https://icodrops.com/monad/
Glint Analytics,GLNT,IDO on Kommunitas,—,$18 M,—,,Analytics,—,"Nov 21, 2025",0,https://icodrops.com/glint-analytics/
ArcaneVault,AV,IDO on Fount,—,$6 M,—,,NFT ecosystem,—,"Nov 18, 2025",0,https://icodrops.com/arcanevault/
GAIB,GAIB,Binance Alpha Airdrop,$15 M,$21.26 M,18,,Infrastructure,0.09x,"Nov 19, 2025",0,https://icodrops.com/gaib/
Datagram,DGRAM,Binance Alpha Airdrop,$4 M,$415.2 K,7,,Infrastructure,0.01x,"Nov 18, 2025",0,https://icodrops.com/datagram/
Solomon Labs,SOLO,ICM on MetaDAO,$8 M,$17.45 M,—,,Stablecoin Issuer,0.84x,"Nov 14, 2025",0,https://icodrops.com/solomon-labs/
Finsteco,FNST,IDO on Spores,—,$90 M,—,,Finance,—,"Nov 14, 2025",0,https://icodrops.com/finsteco/
Canton Network,CC,Launchpool on Bybit,$447.2 M,$5.51 B,24,,Blockchain,—,"Nov 10, 2025",0,https://icodrops.com/canton-network/
Kuvi.ai,KUVI,IDO on Eesee,$700 K,$40 M,,,DeFi,—,"Nov 14, 2025",0,https://icodrops.com/kuvi-ai/
FighterCat,FIGHTERC,IDO on IXIRPAD,—,$2 M,—,,Meme,—,"Nov 13, 2025",0,https://icodrops.com/fightercat/
Blink Galaxy,BG,IDO on Poolz,$500 K,$80 M,—,,Blockchain,—,"Nov 13, 2025",0,https://icodrops.com/blink-galaxy/
Friendly Giant AI,GIANTAI,IDO on Eesee,—,$5 M,—,,AI Agents,—,"Nov 11, 2025",0,https://icodrops.com/friendly-giant-ai/
BOB,BOB,Community & Public sale,$23 M,$59.98 M,26,,Layer-2,0.22x,"Nov 10, 2025",0,https://icodrops.com/bob-2/
ByteDance rTTOK,rTTOK,Public Sale,—,—,—,,Blockchain Service,—,"Oct 30, 2025",0,https://icodrops.com/bytedance-rttok/
Allora,ALLO,Binance HODLer Airdrops,$32.5 M,$87.62 M,14,,Blockchain Service,0.14x,"Nov 11, 2025",0,https://icodrops.com/allora/
Meta Arena,TIMI,Binance Alpha Airdrop,—,—,—,,GameFi,—,"Nov 9, 2025",0,https://icodrops.com/meta-arena/
Aria Protocol,ARIAIP,Binance Alpha Airdrop,$16.1 M,$3.92 M,2,,Real World Assets P…,0.03x,"Nov 7, 2025",0,https://icodrops.com/aria-protocol/
UnifAI,UAI,Binance Alpha Airdrop,—,—,—,,Infrastructure,—,"Nov 6, 2025",0,https://icodrops.com/unifai/
Belong,LONG,Binance Alpha Airdrop,$8 M,$1.35 M,11,,Blockchain Service,0.03x,"Nov 7, 2025",0,https://icodrops.com/belong/
Folks Finance,FOLKS,Binance Alpha Airdrop,$6.2 M,$60.45 M,15,,Lending Platform,0.32x,"Nov 6, 2025",0,https://icodrops.com/folks-finance/
Sapien,SAPIEN,Binance HODLer Airdrops,$15.5 M,$70.36 M,5,,Big Data,0.35x,"Nov 6, 2025",0,https://icodrops.com/sapien-2/
Intuition,TRUST,Binance Alpha Airdrop,$6.5 M,$64.88 M,24,,Blockchain Service,0.76x,"Nov 5, 2025",0,https://icodrops.com/intuition/
ZeroBase,ZBT,Launchpool on Bybit,$5 M,$67.5 M,8,,Zero Knowledge,—,"Oct 21, 2025",0,https://icodrops.com/zerobase/
MemeMarket,MFUN,IDO on Polkastarter,—,$8.86 K,,,Gaming,0.01x,"Nov 3, 2025",0,https://icodrops.com/mememarket/
Monorail,,Community Round,$250 K,—,—,,DeFi,—,"Nov 4, 2025",0,https://icodrops.com/monorail/
Momentum (MSafe),MMT,Binance HODLer Airdrops,$14.5 M,$107.8 M,25,,DEX,—,"Nov 4, 2025",0,https://icodrops.com/msafe/
Bluwhale,BLUAI,X Launch,$109.6 M,$79.45 M,28,,Blockchain Service,0.32x,"Oct 20, 2025",0,https://icodrops.com/bluwhale/
Cygnus Finance,CGN,X Launch,$20 M,$26.1 M,5,,Blockchain,0.12x,"Oct 20, 2025",0,https://icodrops.com/cygnus-finance/
Kite AI,KITE,Binance Launchpool,$18 M,$1.98 B,5,,Blockchain,—,"Nov 1, 2025",0,https://icodrops.com/kite-ai/
Syndicate,SYND,Launchpool on Bybit,$21.8 M,$40.59 M,92,,Infrastructure,—,"Oct 27, 2025",0,https://icodrops.com/syndicate/
Marina Protocol,BAY,Binance Alpha Airdrop,$1.68 M,$29.73 M,3,,Blockchain Service,0.32x,"Nov 1, 2025",0,https://icodrops.com/marina-protocol/
DexToro,DTR,Token Sale,$268 K,$340 M,—,,DeFi,—,"Oct 24, 2025",0,https://icodrops.com/dextoro/
MegaETH,MEGA,Public Sale,$107.68 M,$1.33 B,10,,Layer-2,1.33x,"Oct 27, 2025",0,https://icodrops.com/megaeth/
Vibе,VIBE,Presale,—,—,—,,Blockchain Service,—,"Oct 29, 2025",0,https://icodrops.com/vibe-2/
Taunt AI,TNT,IDO on OpenPad,—,$30 M,—,,Social,—,"Oct 27, 2025",0,https://icodrops.com/taunt-ai/
Paystream,PAYS,ICM on MetaDAO,$750 K,$888.03 K,—,,DeFi,0.49x,"Oct 23, 2025",0,https://icodrops.com/paystream/
Seedli Capital,SEEDLI,IDO on IXIRPAD,—,$5 M,—,,DeFi,—,"Oct 25, 2025",0,https://icodrops.com/seedli-capital/
Block Stranding,STRAND,Presale,$3.7 M,—,—,,Game,—,"Oct 22, 2025",0,https://icodrops.com/block-stranding/
MWX,MWXT,IDO on Spores,—,$80 M,—,,Marketplace,—,"Oct 23, 2025",0,https://icodrops.com/mwx/
ZKLSOL,ZKFG,ICM on MetaDAO,$970 K,$698.66 K,—,,Liquid Staking Toke…,0.56x,"Oct 21, 2025",0,https://icodrops.com/zklsol/
Meteora,MET,Binance Alpha,—,$139.98 M,—,,DEX,0.08x,"Oct 23, 2025",0,https://icodrops.com/meteora/
aPriori,APR,Binance Wallet Sale,$30.07 M,$155.2 M,19,,DeFi,31.02x,"Oct 23, 2025",0,https://icodrops.com/apriori/
Yield Basis,YB,Launchpool on Bybit,$12.5 M,$117.9 M,—,,DeFi,1.18x,"Oct 17, 2025",0,https://icodrops.com/yield-basis/
AdLunam,LUNAM,IDO on Kommunitas,$2.14 M,$25 M,17,,Social,—,"Oct 22, 2025",0,https://icodrops.com/adlunam/
Enso Finance,ENSO,Launchpool on Bybit,$9.2 M,$99.39 M,10,,Blockchain Service,0.82x,"Oct 14, 2025",0,https://icodrops.com/ensofinance/
Loyal,LOYAL,ICM on MetaDAO,$2.5 M,$3.32 M,—,,Artificial Intellig…,0.64x,"Oct 17, 2025",0,https://icodrops.com/loyal/
Turtle.Club,TURTLE,Binance HODLer Airdrops,$11.7 M,$40.56 M,30,,Protocol,0.14x,"Oct 22, 2025",0,https://icodrops.com/turtle-club/
Adix,ADIX,IDO on Poolz,—,$31 K,—,,AI Agents,0.01x,"Oct 20, 2025",0,https://icodrops.com/adix/
Avici,AVICI,ICM on MetaDAO,$3.5 M,$8.56 M,—,,Infrastructure,1.9x,"Oct 14, 2025",0,https://icodrops.com/avici/
FacilPay,FACIL,IDO on Spores,—,$12.5 M,—,,Payments,—,"Oct 16, 2025",0,https://icodrops.com/facilpay/
Astra Nova,RVV,Binance Wallet Booster Program,$53.1 M,$50 M,7,,Artificial Intellig…,—,"Sep 18, 2025",0,https://icodrops.com/astra-nova/
Lern360,LERN,IDO on TrustFi,—,$200 M,—,,Artificial Intellig…,—,"Oct 14, 2025",0,https://icodrops.com/lern360/
375ai,EAT,Public Sale on CoinList,$15 M,$30.04 M,9,,Infrastructure,0.4x,"Oct 9, 2025",0,https://icodrops.com/375ai/
Euler,EUL,Binance HODLer Airdrops,$40.8 M,$21.04 M,18,,Lending Platform,0.17x,"Oct 13, 2025",0,https://icodrops.com/euler/
Credia Layer,CRED,Trust Wallet Launchpool,—,—,—,,Trading,—,"Oct 9, 2025",0,https://icodrops.com/credia-layer/
Autify Network,AUTY,IDO on Spores,$3.05 M,$45 M,—,,RWA (Real World Ass…,—,"Oct 10, 2025",0,https://icodrops.com/autify-network/
umbra privacy,,ICM on MetaDAO,$3 M,$12.02 M,—,,Privacy Coin,1.41x,"Oct 2, 2025",0,https://icodrops.com/umbra-privacy/
Tea,TEA,Public Sale on CoinList,$16.9 M,$50 M,11,,Blockchain Service,—,"Sep 25, 2025",0,https://icodrops.com/tea/
Limitless,LMTS,Capital Launchpad,$17 M,$119.2 M,11,,Predictions,0.2x,"Sep 25, 2025",0,https://icodrops.com/limitless/
Cryndex,CRYX,IDO on Spores,—,$3 M,—,,Blockchain Service,—,"Oct 1, 2025",0,https://icodrops.com/cryndex/
Khugaverse,KOIN,IDO on Huostarter,—,$35 M,—,,GameFi,—,"Sep 29, 2025",0,https://icodrops.com/khugaverse/
OpenEden,EDEN,Binance HODLer Airdrops,$5 M,$29.34 M,9,,Real World Assets P…,0.02x,"Sep 30, 2025",0,https://icodrops.com/openeden/
AIDEFI,AIDEFI,IDO on ChainGPT,—,$150 K,—,,DeFi,—,"Sep 29, 2025",0,https://icodrops.com/aidefi/
Novastro,XNL,Capital Launchpad,$1.2 M,—,5,,Layer-2,—,"Sep 22, 2025",0,https://icodrops.com/novastro/
Anichess,CHECK,Capital Launchpad,$3.3 M,—,8,,Gaming,—,"Sep 18, 2025",0,https://icodrops.com/anichess/
Plasma,XPL,Airdrop,$74 M,$923.63 M,15,,Blockchain,1.85x,"Sep 25, 2025",0,https://icodrops.com/plasma/
Lendr.fi,RWAL,IDO on BSCS,$600 K,$300 M,2,,DeFi,—,"Sep 23, 2025",0,https://icodrops.com/lendr-fi/
ByBarter,BYB,IDO on Polkastarter,—,$28 M,—,,DeFi,—,"Sep 23, 2025",0,https://icodrops.com/bybarter/
Hemi Network,,Binance HODLer Airdrops,$30 M,$56.58 M,21,,Modular Blockchain,0.26x,"Sep 23, 2025",0,https://icodrops.com/hemi-network/
Falcon Finance,FF,ICM on Buidlpad,$24 M,$704.1 M,,,DEX,1.57x,"Sep 16, 2025",0,https://icodrops.com/falcon-finance/
KvantsAI,KVAI,IDO on Seedify,—,$12 M,—,,Artificial Intellig…,—,"Sep 22, 2025",0,https://icodrops.com/kvantsai/
TAU,TAU,IDO on IXIRPAD,—,$1 B,—,,Mining,—,"Sep 20, 2025",0,https://icodrops.com/tau/
LAB,LAB,ICM on Legion,$4.65 M,—,12,,Trading,—,"Sep 19, 2025",0,https://icodrops.com/lab/
0G,0G,Binance HODLer Airdrops,$357.24 M,$467.5 M,13,,Infrastructure,0.19x,"Sep 22, 2025",0,https://icodrops.com/0g/
Hana Network,HANA,Capital Launchpad,$4 M,$40.94 M,7,,Privacy Coin,—,"Sep 16, 2025",0,https://icodrops.com/hana-network/
Lombard,BARD,Binance HODLer Airdrops,$23.75 M,$401.5 M,8,,DeFi,0.89x,"Sep 18, 2025",0,https://icodrops.com/lombard/
Phron AI,ZPHR,IDO on Alphamind,—,$1 M,—,,Artificial Intellig…,—,"Sep 16, 2025",0,https://icodrops.com/phron-ai/
Betura,BETURA,IDO on Spores,—,$2.5 M,—,,Bets,—,"Sep 15, 2025",0,https://icodrops.com/betura/
Avantis,AVNT,Binance HODLer Airdrops,$12 M,$137.6 M,5,,Perpetual,0.56x,"Sep 16, 2025",0,https://icodrops.com/avantis/
AIQuant,AIQ,IDO on Poolz,—,$50 M,—,,Trading,—,"Sep 15, 2025",0,https://icodrops.com/aiquant/
Boundless,ZKC,Binance HODLer Airdrops,—,$72.18 M,—,,Infrastructure,0.04x,"Sep 15, 2025",0,https://icodrops.com/boundless/
Play AI,PLAI,Capital Launchpad,$4.3 M,$1.97 M,3,,Infrastructure,0.02x,"Sep 8, 2025",0,https://icodrops.com/play-ai/
Gambit,GAMBIT,IDO on Eesee,—,$12 M,—,,Bets,—,"Sep 13, 2025",0,https://icodrops.com/gambit/
Project Merlin,MRLN,IDO on Spores,$2.24 M,$83.6 K,—,,Binance Alpha,0.01x,"Sep 12, 2025",0,https://icodrops.com/project-merlin/
Everlyn,LYN,Capital Launchpad,$15 M,$44.38 M,4,,Infrastructure,—,"Sep 4, 2025",0,https://icodrops.com/everlyn/
Holoworld AI,HOLO,Binance HODLer Airdrops,$100 K,$110.28 M,—,,Launchpad,11.02x,"Sep 11, 2025",0,https://icodrops.com/holoworld-ai/
Linea,,Binance HODLer Airdrops,—,$215.38 M,—,,Layer-2,0.09x,"Sep 10, 2025",0,https://icodrops.com/linea/
Sera.Casino,SC,IDO on Spores,—,$2 M,—,,Gambling,—,"Sep 7, 2025",0,https://icodrops.com/seracasino/
UOMI,UOMI,IDO on Spores,—,$2.62 M,—,,Blockchain,0.18x,"Sep 6, 2025",0,https://icodrops.com/uomi/
Pascal Protocol,PASC,IDO on BullPerks,$12.77 M,$50 M,—,,DeFi,—,"Sep 7, 2025",0,https://icodrops.com/pascal-protocol/
Dynamo Protocol,DYNAMO,IDO on KingdomStarter,—,—,—,,DeFi,—,"Sep 6, 2025",0,https://icodrops.com/dynamo-protocol/
Starpower,STAR,Binance Wallet Sale,$4.5 M,—,7,,Blockchain Service,—,"Sep 6, 2025",0,https://icodrops.com/starpower/
Superfluid,SUP,Capital Launchpad,$14.1 M,$9.97 M,28,,DeFi,—,"Aug 28, 2025",0,https://icodrops.com/superfluid/
Hyperbot,BOT,Binance Wallet Sale,$6.75 M,—,,,Analytics,—,"Sep 3, 2025",0,https://icodrops.com/hyperbot/
NewEra Finance,NERA,IDO on Seedify,—,$5 M,—,,Marketplace,—,"Sep 1, 2025",0,https://icodrops.com/newera-finance/
XorionChain,XOR,IDO on Huostarter,—,$60 M,—,,Blockchain,—,"Aug 27, 2025",0,https://icodrops.com/xorionchain/
Mitosis,MITO,Binance Wallet Sale,$7 M,$37.46 M,8,,DeFi,—,"Aug 28, 2025",0,https://icodrops.com/mitosis/
BNB Attestation Service,BAS,Binance Wallet Booster Program,$200 K,$10 M,—,,Infrastructure,—,"Jul 17, 2025",0,https://icodrops.com/bnb-attestation-service/
Almanak,ALMANAK,ICM on Legion,$11.95 M,$2.3 M,6,,DeFi,0.05x,"Aug 21, 2025",0,https://icodrops.com/almanak/
OVERTAKE,TAKE,Binance Wallet Sale,$7 M,$16.4 M,3,,Sui Ecosystem,—,"Aug 25, 2025",0,https://icodrops.com/overtake/
Yellow Network,,Public Sale,$11 M,—,9,,Blockchain Service,—,"Jul 16, 2025",0,https://icodrops.com/yellow-network/
