Project,Symbol,Round,Total Raised,Pre-Valuation,Investors,Ecosystem,Categories,ROI,Date,Quarter Flag,source_url
Sugar Kingdom,SKO,IDO on BinStarter,$2.4 M,$19.83 K,14,,Gaming,0.01x,"Apr 11, 2022",0,https://icodrops.com/sugar-kingdom/
Avania,NOVA,IDO on TrustPad,$200 K,$18.4 M,—,,Gaming,1x,"Apr 10, 2022",0,https://icodrops.com/avania/
Ambire Wallet,WALLET,Airdrop,$2.78 M,$6.67 M,7,,Wallet,0.14x,"Apr 7, 2022",0,https://icodrops.com/ambire-wallet/
Nirvana prANA,PRANA,IDO on Raydium,$250 K,$1.75 K,—,,Cryptocurrency,0.01x,"Apr 5, 2022",0,https://icodrops.com/nirvana-prana/
Animal Concerts,ANML,IDO Round 9,$11.34 M,$69.12 K,—,,Metaverse,0.01x,"Mar 31, 2022",0,https://icodrops.com/animal-concerts/
Pax World,PAXW,Main Sale,$50 K,$718.2 K,—,,Metaverse,0.01x,"Feb 24, 2022",0,https://icodrops.com/pax-world/
Dogami,DOGA,Community Airdrop,$24.85 M,$38.09 K,5,,Gaming,—,"Mar 21, 2022",0,https://icodrops.com/dogami/
Lyber,LYB,Main Sale,—,$37.5 M,—,,Blockchain Service,1x,"Feb 25, 2022",0,https://icodrops.com/lyber/
Enrex,ENRX,IDO on CoreStarter,$7.68 M,$29.21 K,4,,Governance Token,0.01x,"Mar 30, 2022",0,https://icodrops.com/enrex/
Stargate finance,STG,Community Round 2,$30 M,$267.6 M,,,Cross-Сhain Communi…,1.12x,"Mar 30, 2022",0,https://icodrops.com/stargate-finance/
X2Y2,X2Y2,Airdrop,—,$530.1 K,1,,NFT,—,"Feb 16, 2022",0,https://icodrops.com/x2y2/
Dead Knight,DKM,IDO on NFTpad,$799.2 K,$2.77 K,11,,Gaming,0.01x,"Mar 29, 2022",0,https://icodrops.com/dead-knight/
MStation,MST,IDO on BinStarter,$665 K,$12.46 K,1,,Gaming,0.01x,"Mar 29, 2022",0,https://icodrops.com/mstation/
Dark Land Survival,BIG,IDO on KrystalGO,$2.29 M,$104.88 K,3,,Play to Earn,0.01x,"Mar 26, 2022",0,https://icodrops.com/dark-land-survival/
Fayre,FAYRE,Public Sale,$6.85 M,$160 M,7,,Blockchain Service,—,"Feb 22, 2022",0,https://icodrops.com/fayre/
NeoFi,NEOFI,IDO on ZigPad,$2.5 M,$15.75 M,13,,Application,0.02x,"Mar 23, 2022",0,https://icodrops.com/neofi/
Nomad Exiles,PRIDE,IDO on BlokPad,$4.06 M,$31.76 K,4,,Gaming,0.01x,"Mar 24, 2022",0,https://icodrops.com/nomad-exiles/
Plutonian DAO,PLD,IDO on TruePNL,$1.87 M,$296.03 K,6,,Gaming,0.01x,"Mar 24, 2022",0,https://icodrops.com/plutonian-dao/
Deliq,DLQ,Public Sale,$2.73 M,$15 M,6,,Protocol,1x,"Mar 23, 2022",0,https://icodrops.com/deliq/
Galaxy Blitz,MIT,IDO on Equinox,$1.06 M,$65.19 K,—,,Gaming,0.01x,"Mar 21, 2022",0,https://icodrops.com/galaxy-blitz/
Falcon Swaps,FALCONS,IEO on Gate.io,$150 K,$1.08 M,—,,DEX,0.01x,"Mar 22, 2022",0,https://icodrops.com/falcon-swaps/
ReapChain,REAP,IEO on Gate.io,$109.78 K,$5.04 K,—,,Gate.io Launchpad,0.01x,"Mar 22, 2022",0,https://icodrops.com/reapchain/
Metawear,WEAR,IDO,$2.73 M,$102.05 K,12,,Metaverse,0.01x,"Mar 20, 2022",0,https://icodrops.com/metawear/
Bixos,UBXS,IEO on Gate.io,—,$45.7 K,—,,Cryptocurrency,0.01x,"Mar 18, 2022",0,https://icodrops.com/bixos/
STRT Button,STRT,Main Sale,—,$24 M,—,,Platform,—,"Mar 10, 2022",0,https://icodrops.com/strt-button/
Tribal Credit,TRIBL,Main Sale Option 2,$414.49 M,$232.8 K,21,,DeFi,—,"Mar 17, 2022",0,https://icodrops.com/tribal-credit/
Aleph Zero,AZERO,IEO on Gate.io,$20.95 M,$1.92 M,11,,Blockchain,0.01x,"Mar 17, 2022",0,https://icodrops.com/aleph-zero/
Ashward,ASC,IDO,$2.45 M,$30 M,6,,Gaming,0.01x,"Mar 14, 2022",0,https://icodrops.com/ashward/
Mundo,MUNDO,IDO,$3.54 M,$74.08 K,16,,Gaming,0.01x,"Mar 16, 2022",0,https://icodrops.com/mundo/
Yuga Labs,APE,Main Sale,$450 M,$4 B,—,,Blockchain Service,—,"Mar 17, 2022",0,https://icodrops.com/yuga-labs/
APEcoin,APE,Airdrop,$450 M,$87.07 M,2,,Metaverse,0.01x,"Mar 17, 2022",0,https://icodrops.com/apecoin/
Etermon,ETM,IDO on ZeroSwap (ZeeDo,$2.88 M,$212.4 K,5,,Play to Earn,0.01x,"Mar 16, 2022",0,https://icodrops.com/etermon/
Cryptoverse,CGG,Main Sale,$6 M,—,—,,Gaming,—,"Mar 8, 2022",0,https://icodrops.com/cryptoverse/
Zebec Protocol,ZBCN,IDO on Raydium,$30.6 M,$225.99 M,14,,Infrastructure,0.11x,"Mar 15, 2022",0,https://icodrops.com/zebec-protocol/
DarleyGo Essence,DGE,Public Sale,$1.6 M,$3.81 K,8,,Gaming,0.01x,"Mar 7, 2022",0,https://icodrops.com/darleygo-essence/
Stader Labs,SD,Public Round Gate.io,$39.99 M,$15.77 M,19,,Liquid Staking Prot…,0.03x,"Mar 14, 2022",0,https://icodrops.com/stader-labs/
Seeded Network,SEEDED,IDO Glitter Finance,$1.45 M,$15.04 K,5,,DeFi,0.01x,"Mar 14, 2022",0,https://icodrops.com/seeded-network/
Adalend,ADAL,IDO on PulsePad,$7.44 M,$8.62 K,3,,DAO,0.01x,"Mar 14, 2022",0,https://icodrops.com/adalend/
DeFiHorse,DFH,Public Sale,$6.7 M,$97.19 K,19,,Metaverse,0.01x,"Mar 11, 2022",0,https://icodrops.com/defihorse/
The Monopolist,MONO,Airdrop,$1.12 M,$6.72 K,10,,Gaming,0.01x,"Oct 1, 2021",0,https://icodrops.com/the-monopolist/
Duet Protocol,DUET,Liquidity Bootstrapping Pool on the Copper,$7.01 M,$39.37 K,33,,PancakeSwap IDO,0.01x,"Mar 11, 2022",0,https://icodrops.com/duet-protocol/
Infinity Arena,INAZ,IDO on LuaSwap,$1.91 M,$247.3 K,6,,Metaverse,0.01x,"Mar 11, 2022",0,https://icodrops.com/infinity-arena/
Launchblock.com,LBP,IDO on Huobi Prime,$10.93 M,$315.9 K,1,,Gaming,0.01x,"Mar 8, 2022",0,https://icodrops.com/launchblock-com/
Orbler,ORBR,IEO on Gate.io,$122.22 K,$21.68 M,2,,Play to Earn,0.01x,"Mar 6, 2022",0,https://icodrops.com/orbler/
EarthFund,1Earth,IDO on Gate.io,$1.3 M,$317.9 K,—,,Cryptocurrency,0.01x,"Mar 3, 2022",0,https://icodrops.com/earthfund/
Chrono.tech,TIME,IDO on Gate.io,$30.15 M,$1.92 M,,,Avalanche Ecosystem,0.02x,"Mar 3, 2022",0,https://icodrops.com/chrono-tech/
CitaDAO,KNIGHT,Airdrop,$1 M,$5.05 M,7,,DAO,0.3x,"Mar 4, 2022",0,https://icodrops.com/citadao/
Rainbow Token,RBW,Liquidity Bootstrapping Pool on the Copper,$45.59 M,$379.5 K,9,,Gaming,0.01x,"Mar 1, 2022",0,https://icodrops.com/rainbow-token/
MetaRim,RIM,IDO on Gate.io,$2.11 M,$2.95 K,4,,NFT,0.01x,"Feb 27, 2022",0,https://icodrops.com/metarim/
RankerDAO,RANKER,IDO on KuCoin,$3.44 M,$5.01 K,10,,DAO,0.01x,"Feb 24, 2022",0,https://icodrops.com/rankerdao/
Ratio Finance,RATIO,Public Sale Round 2,$8.4 M,$4.49 K,10,,Protocol,0.01x,"Feb 17, 2022",0,https://icodrops.com/ratio-finance/
Cloudname,CNAME,Public sale (IEO on MEXC Global),$257.62 K,$2.17 K,12,,Blockchain Service,0.01x,"Feb 24, 2022",0,https://icodrops.com/cloudname/
Mytrade,MYT,IDO on BitKeep,$1.92 M,$796.1 K,17,,DEX,0.02x,"Feb 24, 2022",0,https://icodrops.com/mytrade/
Qitchain Network,QTC,IEO on Gate.io,$90.48 K,$1.82 M,—,,Application,0.01x,"Feb 23, 2022",0,https://icodrops.com/qitchain-network/
Orbitau,TAUM,IDO on Polkastarter,$3.57 M,$8.66 K,2,,Gaming,0.01x,"Feb 23, 2022",0,https://icodrops.com/orbitau/
Altered State Token,ASTO,Airdrop,$11 M,$5.33 M,11,,Metaverse,0.01x,"Feb 22, 2022",0,https://icodrops.com/alt-estate/
Dexalot,ALOT,IDO on Avalaunch,$6.75 M,$4.07 M,7,,DEX,0.07x,"Feb 22, 2022",0,https://icodrops.com/dexalot/
Tap Fantasy,TAP,IDO on Bybit,$5.45 M,$13.02 K,13,,Play to Earn,0.01x,"Feb 22, 2022",0,https://icodrops.com/tap-fantasy/
Circuits of Value,COVAL,IDO on Gate.io,$150 K,$167.67 K,—,,DeFi,0.01x,"Feb 21, 2022",0,https://icodrops.com/circuits-of-value/
EarnGuild,EARN,IDO on BitMart,$7.97 M,$30.68 K,19,,Gaming,0.01x,"Feb 21, 2022",0,https://icodrops.com/earnguild/
MetaMall,MALL,IDO on FireStarter,$5.19 M,$19.2 K,12,,Metaverse,0.01x,"Feb 21, 2022",0,https://icodrops.com/metamall/
Alpine F1,ALPINE,Binance Launchpad,$4 M,$16.07 M,,,Fan Token,0.41x,"Feb 16, 2022",0,https://icodrops.com/alpine-f1/
Atlas DEX,ATS,IDO on Solstarter,$6.47 M,$6.38 K,8,,DeFi,0.01x,"Jan 17, 2022",0,https://icodrops.com/atlas-dex/
